id,name,asset_type,raw_asset_ids,tags,location_id,street_address,unit,unit_type,municipality,city,state,zip_code,parcel_id,residence,iffy_geocoding,available_transportation,parent_location,url,email,phone,hours_of_operation,holiday_hours_of_operation,periodicity,capacity,wifi_network,internet_access,computers_available,accessibility,open_to_public,child_friendly,sensitive,do_not_display,localizability,services,hard_to_count_population,data_source_names,data_source_urls,organization_name,organization_phone,organization_email,etl_notes,latitude,longitude,full_address,geom_type,census_tract,allegheny_county_municipality,geocoding_status
202076,First United Presbyterian Church Of Rennerdale,faith-based_facilities,11629,,673,151 Noblestown Rd,,,,Carnegie,PA,15106-1454,,,,,,http://www.rennerdalepresbyterian.org/,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.3979085184368,-80.1406682400788,"151 Noblestown Rd, Carnegie, PA 15106-1454",Point,42003458000,Collier Township,OK
202723,St Mark AME Church,faith-based_facilities,12276,,916,1409 Montier St,,,,Pittsburgh,PA,15221-1815,,,,,,,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.4444663444041,-79.8747637299581,"1409 Montier St, Pittsburgh, PA 15221-1815",Point,42003561500,Wilkinsburg Borough,OK
202524,Sacred Heart Parish,faith-based_facilities,12077,,792,154 Orchard Ave,,,,Pittsburgh,PA,15202-1595,,,,,,http://www.sacredheartavonworth.org,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.5110093128974,-80.0976679472249,"154 Orchard Ave, Pittsburgh, PA 15202-1595",Point,42003435000,Emsworth Borough,OK
202550,Saint Colman Parish,faith-based_facilities,12103,,478,100 Tri-Boro Avenue,,,,Turtle Creek,PA,15145,,,,,,,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,,,"100 Tri-Boro Avenue, Turtle Creek, PA 15145",,,,Unable to geocode this address to a single unambigous point.
202623,Second Baptist Church,faith-based_facilities,12176,,578,49 Banfield Stree,,,,Pittsburgh,PA,15235,,,,,,,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.4638951099637,-79.8873421233999,"49 Banfield Stree, Pittsburgh, PA 15235",Point,42003523100,Penn Hills Municipality,OK
202621,Sanctuary Faith Community,faith-based_facilities,12174,,534,306 Roosevelt Way,,,,Pittsburgh,PA,15215,,,,,,https://www.sanctuarypgh.org/contact,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.4963515746342,-79.9291331181999,"306 Roosevelt Way, Pittsburgh, PA 15215",Point,42003424000,Sharpsburg Borough,OK
202619,Salem United Methodist Church,faith-based_facilities,12172,,651,350 Manor Road,,,,Wexford,PA,15090-8708,,,,,,www.salem-umc.org,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.6291214832897,-80.0668352397962,"350 Manor Road, Wexford, PA 15090-8708",Point,42003409000,Pine Township,OK
202650,Ss Simon & Jude Parish,faith-based_facilities,12203,,913,1607 Greentree Rd,,,,Pittsburgh,PA,15220-1998,,,,,,https://www.ssjpittsburgh.org,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.4007994755184,-80.0625003094038,"1607 Greentree Rd, Pittsburgh, PA 15220-1998",Point,42003470501,Scott Township,"There are 2 parcels that contain the point (-80.0625003094038, 40.4007994755184)."
202645,Southminster Presbyterian Church,faith-based_facilities,12198,,955,799 Washington Rd,,,,Pittsburgh,PA,15228-2088,,,,,,http://www.spchurch.org/,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.377777918871,-80.0457297360255,"799 Washington Rd, Pittsburgh, PA 15228-2088",Point,42003473401,Mount Lebanon,OK
202639,Sixth Mt Zion Baptist Church,faith-based_facilities,12192,,823,6556 Shetland Ave,,,,Pittsburgh,PA,15206-3355,,,,,,,,,,,,,,,,,,,False,,FIX,,,AlleghenyCountyChurches.xlsx,[Unknown],,,,,40.4617589421296,-79.9082384169513,"6556 Shetland Ave, Pittsburgh, PA 15206-3355",Point,42003120400,Pittsburgh,OK
